1	1	N3I	NSF	13442	Ὅρασις	ὁρασις	ορασις	ὅρασις	O/(rasij	o(rasij	orasij	o/(rasij	o(/rasij			,	O(/RASIS	O(/RASIS
1	1	RR	ASF	14	ἣν	ἡν	ην	ὅς	h\(n	h(n	hn	o/(j	o(/j				H(\N	O(/S
1	1	VBI	AAI3S	633473	εἶδεν	εἰδεν	ειδεν	ὁράω	ei~)den	ei)den	eiden	o(ra/w	o(ra/w				EI)=DEN	O(RA/W
1	1	N	NSM	9346	Ησαιας	ησαιας	ησαιας	Ἡσαΐας	Hsaiaj	hsaiaj	hsaiaj	H(sai/:aj	H(sai/:aj				*HSAIAS	*HSAIAS
1	1	N2	NSM	9346	υἱὸς	υἱος	υιος	υἱός	ui(o\j	ui(oj	uioj	ui(o/j	ui(o/j				UI(O\S	UI(O/S
1	1	N	GSM	9538	Αμως	αμως	αμως	Ἀμώς	Amwj	amwj	amwj	A)mw/j	A)mw/j			,	*AMWS	*AMWS
1	1	RR	ASF	14	ἣν	ἡν	ην	ὅς	h\(n	h(n	hn	o/(j	o(/j				H(\N	O(/S
1	1	VBI	AAI3S	633473	εἶδεν	εἰδεν	ειδεν	ὁράω	ei~)den	ei)den	eiden	o(ra/w	o(ra/w				EI)=DEN	O(RA/W
1	1	D		9	κατὰ	κατα	κατα	κατά	kata\	kata	kata	kata/	kata/				KATA\	KATA/
1	1	RA	GSF	10	τῆς	της	της	ὁ	th~j	thj	thj	o(	o(				TH=S	O(
1	1	N1A	GSF	13634	Ιουδαίας	ιουδαιας	ιουδαιας	Ἰουδαία	Ioudai/aj	ioudaiaj	ioudaiaj	I)oudai/a	I)oudai/a				*IOUDAI/AS	*I)OUDAI/A
1	1	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	1	D		9	κατὰ	κατα	κατα	κατά	kata\	kata	kata	kata/	kata/				KATA\	KATA/
1	1	N	GSF	13634	Ιερουσαλημ	ιερουσαλημ	ιερουσαλημ	Ἱερουσαλήμ	Ierousalhm	ierousalhm	ierousalhm	I(erousalh/m	I(erousalh/m				*IEROUSALHM	*I)EROUSALH/M
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	1	N1A	DSF	13698	βασιλείᾳ	βασιλεια	βασιλεια	βασιλεία	basilei/a|	basileia	basileia	basilei/a	basilei/a				BASILEI/A|	BASILEI/A
1	1	N1T	GSM	9538	Οζιου	οζιου	οζιου	Ὀζίας	Oziou	oziou	oziou	O)zi/aj	O)zi/aj				*OZIOU	*OZIAS
1	1	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	1	N	GSM	9538	Ιωαθαμ	ιωαθαμ	ιωαθαμ	Ἰωάθαμ	Iwaqam	iwaqam	iwaqam	I)wa/qam	I)wa/qam				*IWAQAM	*IWAQAM
1	1	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	1	N	GSM	9538	Αχαζ	αχαζ	αχαζ	Ἀχάζ	Axaz	axaz	axaz	A)xa/z	A)xa/z				*AXAZ	*AXAZ
1	1	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	1	N2	GSM	9538	Εζεκιου	εζεκιου	εζεκιου	Ἐζεκίας	Ezekiou	ezekiou	ezekiou	E)zeki/aj	E)zeki/aj			,	*EZEKIOU	*EZEKIAS
1	1	RR	NPM	14	οἳ	οἱ	οι	ὅς	oi\(	oi(	oi	o/(j	o(/j				OI(\	O(/S
1	1	VAI	AAI3P	895617	ἐβασίλευσαν	ἐβασιλευσαν	εβασιλευσαν	βασιλεύω	e)basi/leusan	e)basileusan	ebasileusan	basileu/w	basileu/w				E)BASI/LEUSAN	BASILEU/W
1	1	RA	GSF	10	τῆς	της	της	ὁ	th~j	thj	thj	o(	o(				TH=S	O(
1	1	N1A	GSF	13634	Ιουδαίας	ιουδαιας	ιουδαιας	Ἰουδαία	Ioudai/aj	ioudaiaj	ioudaiaj	I)oudai/a	I)oudai/a			.	*IOUDAI/AS	*I)OUDAI/A
1	2	V1	PAD2S	632001	Ἄκουε	ἀκουε	ακουε	ἀκούω	A/)koue	a)koue	akoue	a)kou/w	a)kou/w			,	A)/KOUE	A)KOU/W
1	2	N2	VSM	9410	οὐρανέ	οὐρανε	ουρανε	οὐρανός	ou)rane/	ou)rane	ourane	ou)rano/j	ou)rano/j			,	OU)RANE/	OU)RANO/S
1	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	2	V1	PMD2S	636097	ἐνωτίζου	ἐνωτιζου	ενωτιζου	ἐνωτίζομαι	e)nwti/zou	e)nwtizou	enwtizou	e)nwti/zomai	e)nwti/zomai			,	E)NWTI/ZOU	W)TI/ZOMAI       E)N
