1	1	N-	----NSF-	13442	Βίβλος	βιβλος	βιβλος	βίβλος	Bi/bloj	bibloj	bibloj	bi/bloj			
1	1	N-	----GSF-	13634	γενέσεως	γενεσεως	γενεσεως	γένεσις	gene/sewj	genesewj	genesewj	ge/nesij			
1	1	N-	----GSM-	9538	Ἰησοῦ	ἰησου	ιησου	Ἰησοῦς	I)hsou~	i)hsou	ihsou	I)hsou~j			
1	1	N-	----GSM-	9538	χριστοῦ	χριστου	χριστου	Χριστός	xristou~	xristou	xristou	Xristo/j			
1	1	N-	----GSM-	9538	υἱοῦ	υἱου	υιου	υἱός	ui(ou~	ui(ou	uiou	ui(o/j			
1	1	N-	----GSM-	9538	Δαυὶδ	δαυιδ	δαυιδ	Δαυίδ	Daui\d	dauid	dauid	Daui/d			
1	1	N-	----GSM-	9538	υἱοῦ	υἱου	υιου	υἱός	ui(ou~	ui(ou	uiou	ui(o/j			
1	1	N-	----GSM-	9538	Ἀβραάμ	ἀβρααμ	αβρααμ	Ἀβραάμ	A)braa/m	a)braam	abraam	A)braa/m			.
1	2	N-	----NSM-	9346	Ἀβραὰμ	ἀβρααμ	αβρααμ	Ἀβραάμ	A)braa\m	a)braam	abraam	A)braa/m			
1	2	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	2	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	2	N-	----ASM-	9474	Ἰσαάκ	ἰσαακ	ισαακ	Ἰσαάκ	I)saa/k	i)saak	isaak	I)saa/k			,
1	2	N-	----NSM-	9346	Ἰσαὰκ	ἰσαακ	ισαακ	Ἰσαάκ	I)saa\k	i)saak	isaak	I)saa/k			
1	2	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	2	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	2	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	2	N-	----ASM-	9474	Ἰακώβ	ἰακωβ	ιακωβ	Ἰακώβ	I)akw/b	i)akwb	iakwb	I)akw/b			,
1	2	N-	----NSM-	9346	Ἰακὼβ	ἰακωβ	ιακωβ	Ἰακώβ	I)akw\b	i)akwb	iakwb	I)akw/b			
1	2	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	2	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	2	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	2	N-	----ASM-	9474	Ἰούδαν	ἰουδαν	ιουδαν	Ἰούδας	I)ou/dan	i)oudan	ioudan	I)ou/daj			
1	2	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	2	RA	----APM-	10	τοὺς	τους	τους	ὁ	tou\j	touj	touj	o(			
